"","index","avsalary"
"279",3407,NA
"280",1644,42645.592775
"281",3137,42155.4613
"282",2016,NA
"283",1665,47199.37765085
"284",2005,45642.4216343573
"285",2006,NA
"286",2004,39761.001525
"287",350,57049.0318916891
"288",567,NA
"289",2476,NA
"290",2206,47061.354168225
"291",3203,43023.2193286874
"292",3015,NA
"293",3013,NA
"294",3014,NA
"295",3244,NA
"296",77,57171.6457073602
"297",1146,48627.3850839912
"298",301,58942.310372105
"299",515,53677.0395371995
"300",1123,54073.0625303908
"301",3230,49008.3249171068
"302",1745,51340.4669767
"303",220,49320.5152278379
"304",123,47001.9475421067
"305",2123,41201.49375
"306",642,60097.7788819445
"307",1352,49729.9543939364
"308",1524,NA
"309",514,53677.0395371995
"310",644,NA
"311",427,NA
"312",1421,NA
"313",3434,41315.5271839
"314",3152,NA
"315",1457,NA
"316",302,58942.310372105
"317",215,NA
"318",444,52855.2784895024
"319",2520,38236.32
"320",2666,NA
"321",661,NA
"322",433,NA
"323",706,NA
"324",2417,NA
"325",2416,NA
"326",1734,NA
"327",707,NA
"328",1561,49904.6732068396
"329",56,53782.3266646281
"330",203,61751.3486979769
"331",3361,NA
"332",3360,NA
"333",3202,43023.2193286874
"334",3164,41726.175275
"335",1474,NA
"336",3174,NA
"337",3432,54397.7082280512
"338",57,66942.7149979007
"339",47,NA
"340",2414,47954.1177515464
"341",2521,51642.2910260768
"342",1525,NA
"343",2522,51642.2910260768
"344",3274,NA
"345",452,54355.1034451078
"346",247,59710.4524134408
"347",2415,47954.1177515464
"348",2260,41953.96926825
"349",1622,NA
"350",2257,41953.96926825
"351",2223,NA
"352",1537,NA
"353",432,NA
"354",665,53728.9711646281
"355",1164,44161.9225836675
"356",1236,42493.8574937725
"357",1235,42493.8574937725
"358",1735,NA
"359",620,NA
"360",1124,NA
"361",251,NA
"362",1246,45399.5510701113
"363",2547,49871.9961717872
"364",3112,54370.8743716085
"365",2426,51668.6384285768
"366",2574,52172.0890351281
"367",2361,45580.8827515464
"368",2316,49675.9010543024
"369",2061,NA
"370",327,56860.1354777937
"371",1377,55798.3531400284
"372",1033,50675.984104433
"373",2200,53230.740028146
"374",3476,NA
"375",2232,47027.0544843573
"376",3150,42701.740541765
"377",1106,56949.2489286922
"378",2360,45580.8827515464
"379",464,51973.193487433
"380",746,51716.6442443012
"381",1600,54404.6657718781
"382",2652,49290.701596869
"383",533,54168.0778004586
"384",2427,51668.6384285768
"385",155,53481.5856187885
"386",1506,NA
"387",2430,51668.6384285768
"388",360,61731.5479461831
"389",3057,49023.575679561
"390",140,NA
"391",2315,49675.9010543024
"392",463,51973.193487433
"393",3333,NA
"394",1755,52515.25416154
"395",3006,NA
"396",252,55553.2459892586
"397",3007,NA
"398",462,51973.193487433
"399",2057,NA
"400",2265,NA
"401",2373,NA
"402",3335,NA
"403",2035,NA
"404",3373,NA
"405",3116,NA
"406",3374,NA
"407",2650,NA
"408",2651,NA
"409",2474,45062.8799171068
"410",3036,41117.491525
"411",135,NA
"412",1574,NA
"413",3456,56635.0360652628
"414",1753,NA
"415",671,74995.4213075341
"416",1140,59701.693982827
"417",1022,NA
"418",232,70648.9338122623
"419",1076,NA
"420",1021,NA
"421",1434,66740.5008149471
"422",303,NA
"423",760,NA
"424",1136,NA
"425",1027,51263.0058568838
"426",346,57049.0318916891
"427",345,57049.0318916891
"428",124,47001.9475421067
"429",231,58942.310372105
"430",1120,54073.0625303908
"431",1121,NA
"432",2212,NA
"433",2031,NA
"434",1446,NA
"435",116,NA
"436",1501,NA
"437",1142,46251.06441359
"438",1143,46251.06441359
"439",17,57278.0864011757
"440",20,57278.0864011757
"441",476,NA
"442",15,57171.6457073602
"443",1145,48627.3850839912
"444",2744,45350.1633938425
"445",2246,NA
"446",2247,NA
"447",2245,NA
"448",2205,NA
"449",603,NA
"450",602,NA
"451",1045,62929.5164228322
"452",1046,62929.5164228322
"453",3033,NA
"454",1703,NA
"455",1704,NA
"456",1754,NA
"457",547,49593.9707800653
"458",1736,NA
"459",1156,46251.06441359
"460",2327,NA
"461",2542,48775.9618408249
"462",3366,47268.5640576364
"463",2611,42845.26422
"464",2610,42845.26422
"465",2607,42845.26422
"466",2056,NA
"467",3155,NA
"468",1205,NA
"469",157,NA
"470",1034,NA
"471",3206,NA
"472",1227,43691.8395576364
"473",733,48719.3482770915
"474",1362,49419.5307305512
"475",1575,NA
"476",2306,NA
"477",1576,NA
"478",1626,NA
"479",3444,NA
"480",2304,NA
"481",627,NA
"482",1577,NA
"483",236,NA
"484",630,NA
"485",2305,NA
"486",1732,NA
"487",2351,54395.0667430199
"488",1017,52850.7780385768
"489",174,NA
"490",2350,54395.0667430199
"491",676,NA
"492",675,NA
"493",44,NA
"494",1752,NA
"495",3337,NA
"496",3045,NA
"497",1425,64933.5015299286
"498",2112,NA
"499",134,NA
"500",1302,52097.5584176584
"501",1301,52097.5584176584
"502",1451,NA
"503",3221,NA
"504",3222,NA
"505",1672,47199.37765085
"506",3247,NA
"507",1372,50162.117795715
"508",1345,50266.05284225
"509",413,53429.6219822961
"510",3270,57879.951934896
"511",674,NA
"512",1407,49419.5307305512
"513",60,57171.6457073602
"514",211,49320.5152278379
"515",2565,45191.6599761593
"516",2633,45191.6599761593
"517",3252,36929.3425
"518",3253,36929.3425
"519",3211,NA
"520",3212,NA
"521",3210,NA
"522",137,NA
"523",2721,NA
"524",400,NA
"525",401,NA
"526",402,NA
"527",2760,NA
"528",1426,57107.5085124267
"529",2202,55506.1957028157
"530",2203,55506.1957028157
"531",75,62430.6236393032
"532",1147,49350.2237983468
"533",3062,45508.5173320154
"534",76,62430.6236393032
"535",3111,56076.5041659122
"536",324,57780.9683334946
"537",1150,49350.2237983468
"538",3215,47538.50265085
"539",1375,53814.0036389229
"540",2554,45310.6220315
"541",3107,56076.5041659122
"542",156,NA
"543",1151,49350.2237983468
"544",74,62430.6236393032
"545",267,NA
"546",403,59949.2527111192
"547",565,51063.1781360768
"548",3050,44493.84689975
"549",2446,47057.216473225
"550",1774,NA
"551",1234,36273.3475
"552",3110,56076.5041659122
"553",1361,49419.5307305512
"554",1070,49919.3183684001
"555",1135,46944.1400446022
"556",731,48719.3482770915
"557",1522,NA
"558",36,NA
