"",,,03222圖書資訊檔案細學類,,,3206圖書資訊檔案學類,
"",,0329其他新聞學及圖書資訊學類,,,,,
"",,,03299其他新聞學及圖書資訊細學類,,,3299其他傳播及資訊學類,
04 商業、管理及法律領域,,,,3社會科學、商業及法律領域,,,
"",041商業及管理學門,,,,34商業及管理學門,,
"",,0411會計及稅務學類,,,,,
"",,,04111會計及稅務細學類,,,3402會計學類,
"",,0412金融、銀行業及保險學類,,,,,
"",,,04121財務金融細學類,,,3405財務金融學類,
"",,,04122財政細學類,,,3407財政學類,
"",,,04123保險及風險管理細學類,,,3406風險管理學類,
"",,0413管理及行政學類,,,,,
"",,,04131企業管理細學類,,,3403企業管理學類,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,,04132流通及供應鏈細學類,,,3408行銷與流通學類(不含行銷),
"",,,04133醫療管理細學類,,,3409醫管學類,
"",,,04134公共行政細學類,,,3108公共行政學類(原 31社會及行為科學學,
"",,,,,,,門)
"",,0414國際貿易、市場行銷及廣告學類,,,,,
"",,,04141國際貿易細學類,,,3404貿易學類,
"",,,04142公共關係細學類,,,3204公共關係學類(原 32傳播學門),
"",,,04143行銷及廣告細學類,,,3208廣告學類(原 32傳播學門),
"",,,,,,3408行銷與流通學類(不含流通),
"",,0416批發及零售學類,,,,,
"",,,04161批發及零售細學類,,,,
"",,0419其他商業及管理學類,,,,,
"",,,04191一般商業細學類,,,3401一般商業學類,
"",,,04199其他商業及管理細學類,,,3499其他商業及管理學類,
"",042法律學門,,,,38法律學門,,
"",,0421法律學類,,,,,
"",,,04211一般法律細學類,,,3801一般法律學類,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域 學門,,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field Narrow field,,Detailed field,
"",,,04212專業法律細學類,,,3802專業法律學類,
"",,0429其他法律學類,,,,,
"",,,04299其他法律細學類,,,3899其他法律學類,
05 自然科學、數學及統計領域,,,,4科學領域,,,
"",051生命科學學門,,,42生命科學學門,,,
"",,0511生物學學類,,,,,
"",,,05111生物學細學類,,,4201生物學類,
"",,0512生物化學及相關學類,,,,,
"",,,05121生物科技細學類,,,4203生物科技學類,
"",,,05122微生物細學類,,,4204微生物學類,
"",,,05123生物化學細學類,,,4205生物化學學類,
"",,,05124生物訊息及遺傳細學類,,,4206生物訊息學類,
"",,0519其他生命科學學類,,,,,
"",,,05191營養細學類,,,7205營養學類(原 72醫藥衛生學門),
"",,,05199其他生命科學細學類,,,4299其他生命科學類,
"",052環境學門,,,85環境保護學門,,,
"",,0521環境科學學類,,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,,05211環境資源細學類,,,8501環境資源學類,
"",,,05212生態細學類,,,4202生態學類(原 42生命科學學門),
"",,0522自然環境及野生動物學類,,,,,
"",,,05221自然環境及野生動物細學類,,,,
"",,0529其他環境學類,,,,,
"",,,05291環境防災細學類,,,8502環境防災學類,
"",,,05292水土保持細學類,,,6207水土保持學類(原 62農業學門),
"",,,05299其他環境細學類,,,8599其他環境保護學類,
"",053物理、化學及地球科學學門,,,,44自然科學學門,,
"",,0531化學學類,,,,,
"",,,05311化學細學類,,,4401化學學類,
"",,0532地球科學學類,,,,,
"",,,05321地球科學及環境細學類,,,4402地球科學學類,
"",,,05322大氣及太空科學細學類,,,4404大氣科學學類,
"",,,,,,4406天文及太空科學學類(不含天文),
"",,,05323海洋科學細學類,,,4405海洋科學學類,
"",,0533物理學類,,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類 領域,,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field Broad field,,Narrow field,Detailed field,
"",,,05331物理及應用物理細學類,,,4403物理學類,
"",,,05332天文細學類,,,4406天文及太空科學學類(不含太空科學),
"",,0539其他物理、化學及地球科學學類,,,,,
"",,,05399其他物理、化學及地球科學細學,,,4499其他自然科學學類,
"",,,類,,,,
"",054數學及統計學門,,,,46數學及統計學門,,
"",,0541數學學類,,,,,
"",,,05411數學細學類,,,4601數學學類,
"",,0542統計學類,,,,,
"",,,05421統計細學類,,,4602統計學類,
"",,0549其他數學及統計學類,,,,,
"",,,05499其他數學及統計細學類,,,4699其他數學及統計學類,
06 資訊通訊科技領域,,,,,,,
"",061資訊通訊科技學門,,,,48電算機學門,,
"",,0611電腦運用學類,,,,,
"",,,06111電腦運用細學類,,,,
"",,0612資料庫、網路設計及管理學類,,,,,
"",,,第 5次修正,,,第 4次修正
"領域",學門,學類,細學類 領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field Broad field,Narrow field,Detailed field,
"",,,06121資料庫、網路設計及管理細學類,,4802網路學類,
"",,0613軟體及應用的開發與分析學類,,,,
"",,,06131資訊技術細學類,,4801電算機一般學類,
"",,,06132軟體開發細學類,,4803軟體發展學類,
"",,,06133系統設計細學類,,4804系統設計學類,
"",,,06134電算機應用細學類,,4805電算機應用學類,
"",,0619其他資訊通訊科技學類,,,,
"",,,06199其他資訊通訊科技細學類,,4899其他電算機學類,
07 工程、製造及營建領域,,,5工程、製造及營造領域,,,
"",071工程及工程業學門,,,52工程學門,,
"",,0711化學工程及製程學類,,,,
"",,,07111化學工程細學類,,5204化學工程學類,
"",,,07112材料工程細學類,,5205材料工程學類,
"",,0712環境保護科技學類,,,,
"",,,07121環境工程細學類,,5209環境工程學類,
"",,,07122河海工程細學類,,5210河海工程學類,
"",,0713電力及能源學類,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,,07131核子工程細學類,,,5212核子工程學類,
"",,,07132能源工程細學類,,,,
"",,0714電機與電子工程學類,,,,,
"",,,07141電機與電子工程細學類,,,5201電資工程學類,
"",,0715機械工程學類,,,,,
"",,,07151機械工程細學類,,,5202機械工程學類,
"",,0716機動車輛、船舶及飛機學類,,,,,
"",,,07161車輛工程細學類,,,,
"",,,07162航空工程細學類,,,,
"",,,07163造船工程細學類,,,,
"",,0719其他工程及工程業學類,,,,,
"",,,07191工業工程細學類,,,5206工業工程學類,
"",,,07192紡織工程細學類,,,5207紡織工程學類,
"",,,07193生醫工程細學類,,,5211生醫工程學類,
"",,,07194綜合工程細學類,,,5213綜合工程學類,
"",,,07199其他工程及工程業細學類,,,5299其他工程學類,
"",072製造及加工學門,,,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,0721食品科學學類,,,,,
"",,,07211食品科學細學類,,,6206食品科學類,
"",,0723紡織品學類,,,,,
"",,,07231紡織品細學類,,,,
"",,0724採礦及提煉學類,,,,,
"",,,07241採礦及提煉細學類,,,,
"",073建築及營建工程學門,,,,58建築及都市規劃學門,,
"",,0731建築學及城鎮規劃學類,,,,,
"",,,07311建築細學類,,,5801建築學類,
"",,,07312景觀設計細學類,,,5802景觀設計學類,
"",,,07313都巿規劃細學類,,,5803都巿規劃學類,
"",,0732營建及土木工程學類,,,,,
"",,,07321土木工程細學類,,,5203土木工程學類(原 52工程學門),
"",,,07322空間資訊及測繪細學類,,,5208測量工程學類(原 52工程學門),
"",,0739其他建築及營建工程學類,,,,,
"",,,07399其他建築及營建工程細學類,,,5899其他建築及都巿規劃學類,
08 農業、林業、漁業及獸醫領域,,,,6農學領域,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",081農業學門,,,,62農業科學學門,,
"",,0811農作物及畜牧生產學類,,,,,
"",,,08111農作物生產細學類,,,6201一般農業學類,
"",,,08112畜牧生產細學類,,,6202畜牧學類,
"",,0812園藝學類,,,,,
"",,,08121園藝細學類,,,6203園藝學類,
"",,0819其他農業學類,,,,,
"",,,08191農業化學細學類,,,6208農業化學類,
"",,,08192農業生物技術細學類,,,6209農業技術學類,
"",,,08193農業經濟及推廣細學類,,,6205農業經濟及推廣學類,
"",,,08194植物保護細學類,,,6204植物保護學類,
"",,,08199其他農業細學類,,,6299其他農林漁牧學類,
"",082林業學門,,,,,,
"",,0821林業學類,,,,,
"",,,08211林業細學類,,,6210林業學類,
"",083漁業學門,,,,,,
"",,0831漁業學類,,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,,08311漁業科學細學類,,,6211漁業學類,
"",,,08312水產養殖細學類,,,,
"",084獸醫學門,,,,64獸醫學門,,
"",,0841獸醫學類,,,,,
"",,,08411獸醫細學類,,,6401獸醫學類,
09 醫藥衛生及社會福利領域,,,,7醫藥衛生及社福領域,,,
"",091醫藥衛生學門,,,,72醫藥衛生學門,,
"",,0911牙醫學類,,,,,
"",,,09111牙醫細學類,,,7208牙醫學類,
"",,0912醫學學類,,,,,
"",,,09121醫學細學類,,,7201醫學學類,
"",,0913護理及助產學類,,,,,
"",,,09131護理及助產細學類,,,7206護理學類,
"",,0914醫學技術及檢驗學類,,,,,
"",,,09141醫學技術及檢驗細學類,,,7207醫學技術及檢驗學類,
"",,0915治療及復健學類,,,,,
"",,,09151物理治療細學類,,,,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類 領域,,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field Broad field,,Narrow field,Detailed field,
"",,,09152職能治療細學類,,,,
"",,,09153語言治療與聽力細學類,,,,
"",,,09159其他治療及復健細學類,,,7204復健醫學學類,
"",,0916藥學學類,,,,,
"",,,09161藥學細學類,,,7203藥學學類,
"",,0917傳統醫學、輔助醫學及治療學類,,,,,
"",,,09171傳統醫學、輔助醫學及治療細學類,,,,
"",,0919其他醫藥衛生學類,,,,,
"",,,09191公共衛生細學類,,,7202公共衛生學類,
"",,,09199其他醫藥衛生細學類,,,7299其他醫藥衛生學類,
"",092社會福利學門,,,,76社會服務學門,,
"",,0921老年人及失能成人照顧學類,,,,,
"",,,09211老年照顧服務細學類,,,7602老年服務學類,
"",,,09212失能者照顧細學類,,,7601身心障礙服務學類,
"",,0922兒童及青少年照顧服務學類,,,,,
"",,,09221兒童及青少年照顧服務細學類,,,7604兒童保育學類,
"",,0923社會工作學類,,,,,
"",,,第 5次修正,,,,第 4次修正
"領域 學門",,學類,細學類,領域 學門,,學類,
Broad field Narrow field,,Detailed field,Sub-detailed field,Broad field Narrow field,,Detailed field,
"",,,09231社會工作細學類,,,7603社會工作學類,
"",,0929其他社會福利學類,,,,,
"",,,09299其他社會福利細學類,,,7699其他社會服務學類,
10 服務領域,,,,8服務領域,,,
101餐旅及民生服務學門,,,,81民生學門,,,
"",,1011家政服務學類,,,,,
"",,,10111家政服務細學類,,,8106生活應用科學學類,
"",,1012美髮美容服務學類,,,,,
"",,,10121美髮美容服務細學類,,,8108美容學類,
"",,1013旅館及餐飲學類,,,,,
"",,,10131旅館及餐飲細學類,,,8101餐旅服務學類,
"",,1014運動學類,,,,,
"",,,10141競技運動細學類,,,8103競技運動學類,
"",,,10142運動科技細學類,,,8104運動科技學類,
"",,1015旅遊觀光及休閒學類,,,,,
"",,,10151旅遊觀光細學類,,,8102觀光休閒學類,
"",,,10152遊憩、運動和休閒管理細學類,,,8105運動休閒及休閒管理學類,
"",,,第 5次修正,,,,第 4次修正
"領域",學門,學類,細學類,領域,學門,學類,
Broad field,Narrow field,Detailed field,Sub-detailed field,Broad field,Narrow field,Detailed field,
"",,1019其他餐旅及民生服務學類,,,,,
"",,,10199其他餐旅及民生服務細學類,,,8199其他民生學類,
"",102衛生及職業衛生服務學門,,,,,,
"",,1022職業衛生及安全學類,,,,,
"",,,10221職業衛生及安全細學類,,,,
"",103安全服務學門,,,,86軍警國防安全學門,,
"",,1032警政學類,,,,,
"",,,10321警政細學類,,,8601警政學類,
"",,,,,,,
"",,,,,,8602軍事學類,
"",,,,,,,
"",,,,,,8699其他軍警國防安全學類,
"",104運輸服務學門,,,,84運輸服務學門,,
"",,1041運輸服務學類,,,,,
"",,,10411運輸管理細學類,,,8401運輸管理學類,
"",,,10412航運管理細學類,,,,
"",,,10413空運管理細學類,,,8402航空學類,
"",,,第 5次修正,,,,第 4次修正
"領域 學門",,學類,細學類,領域 學門,,學類,
Broad field Narrow field,,Detailed field,Sub-detailed field,Broad field Narrow field,,Detailed field,
"",,,10414航海細學類,,,8403航海學類,
"",,1049其他運輸服務學類,,,,,
"",,,10499其他運輸服務細學類,,,8499其他運輸服務學類,
99 其他領域,,,,9其他領域,,,
"",999其他學門,,,99其他學門,,,
"",,9999其他學類,,,,,
"",,,99999其他細學類,,,9901其他不能歸類之各學類,
